//	Event Flags					
0x000	_UNUSED					// FH_0
0x001						FH_01
0x002						FH_02
0x003						FH_03
0x004						FH_04
0x005						FH_05
0x006						FH_06
0x007						FH_07
0x008						FH_08
0x009						FH_09
0x00A						FH_10
0x00B						FH_11
0x00C						FH_12
0x00D						FH_13
0x00E						FH_14
0x00F						FH_15
0x010						FH_16
0x011						FH_17
0x012						FH_18
0x013						FH_19
0x014						FH_20
0x015						FH_21
0x016						FH_22
0x017						FH_23
0x018						FH_24
0x019						FH_25
0x01A						FH_26
0x01B						FH_27
0x01C						FH_28
0x01D						FH_29
0x01E						FH_30
0x01F						FH_31
0x020						FH_OBJ00
0x021						FH_OBJ01
0x022						FH_OBJ02
0x023						FH_OBJ03
0x024						FH_OBJ04
0x025						FH_OBJ05
0x026						FH_OBJ06
0x027						FH_OBJ07
0x028						FH_OBJ08
0x029						FH_OBJ09
0x02A						FH_OBJ10
0x02B						FH_OBJ11
0x02C						FH_OBJ12
0x02D						FH_OBJ13
0x02E						FH_OBJ14
0x02F						FH_OBJ15
0x030						FH_OBJ16
0x031						FH_OBJ17
0x032						FH_OBJ18
0x033						FH_OBJ19
0x034						FH_OBJ20
0x035						FH_OBJ21
0x036						FH_OBJ22
0x037						FH_OBJ23
0x038						FH_OBJ24
0x039						FH_OBJ25
0x03A						FH_OBJ26
0x03B						FH_OBJ27
0x03C						FH_OBJ28
0x03D						FH_OBJ29
0x03E						FH_OBJ30
0x03F						FH_OBJ31
0x040						
0x041						
0x042						
0x043						
0x044						
0x045						
0x046						
0x047						
0x048						
0x049						
0x04A						
0x04B						
0x04C						
0x04D						
0x04E						
0x04F						
0x050						
0x051						
0x052						
0x053						
0x054						
0x055						
0x056						
0x057						
0x058						
0x059						
0x05A						
0x05B						
0x05C						
0x05D						
0x05E						
0x05F						
0x060						
0x061						
0x062						
0x063						
0x064						
0x065						
0x066						
0x067						
0x068						
0x069						
0x06A						
0x06B						
0x06C						
0x06D						
0x06E						
0x06F						
0x070						
0x071	IN-GAME TRADE	Violet City		Trade Bellsprout for Onix		
0x072						
0x073						
0x074						
0x075						
0x076						
0x077						
0x078						
0x079						
0x07A						
0x07B						
0x07C						
0x07D						
0x07E						
0x07F						
0x080						
0x081						
0x082						
0x083						
0x084						
0x085						
0x086						
0x087						
0x088						
0x089						
0x08A						
0x08B						
0x08C						
0x08D	IN-GAME TRADE	Goldenrod City	Dept. Store 5F	Trade Drowzee for Machop		
0x08E						
0x08F						
0x090						
0x091						
0x092						
0x093						
0x094						
0x095	PKMN GIFT	Goldenrod City	Bill's House	Receive Eevee from Bill		
0x096						
0x097						
0x098						
0x099						
0x09A						
0x09B						
0x09C						
0x09D						
0x09E						
0x09F						
0x0A0						
0x0A1						
0x0A2						
0x0A3						
0x0A4						
0x0A5	ITEM GIFT			Met Sunny/Got Magnet		
0x0A6						
0x0A7						
0x0A8						
0x0A9						
0x0AA						
0x0AB						
0x0AC						
0x0AD						
0x0AE						
0x0AF						
0x0B0						
0x0B1	ITEM GIFT			Met Arthur/Got Hard Stone		
0x0B2						
0x0B3						
0x0B4						
0x0B5						
0x0B6						
0x0B7						
0x0B8						
0x0B9						
0x0BA						
0x0BB						
0x0BC						
0x0BD						
0x0BE	IN-GAME TRADE			Traded in Olivine City		
0x0BF	PKMN GIFT	Cianwood Town		Received Shuckle Gift		
0x0C0						
0x0C1	EVENT			Shuckle returned or allowed to keep		
0x0C2						
0x0C3						
0x0C4						
0x0C5						
0x0C6						
0x0C7						
0x0C8						
0x0C9						
0x0CA						
0x0CB						
0x0CC						
0x0CD						
0x0CE						
0x0CF						
0x0D0	IN-GAME TRADE			Traded in Blackthorn City		
0x0D1						
0x0D2						
0x0D3						
0x0D4	ITEM GIFT			Met Santos/Got Soft Sand		
0x0D5	ITEM GIFT			Met Wesley/Got Black Belt		
0x0D6						
0x0D7	ITEM GIFT			Met Monica/Got Sharp Beak		
0x0D8	ITEM GIFT			Met Tuscany/Got TwistedSpoon		
0x0D9	ITEM GIFT			Met Frieda/Got Poison Barb		
0x0DA						
0x0DB	EVENT			Quiz answered wrong (Gift Dratini won't have Extremespeed)		
0x0DC	PKMN GIFT			Received Dratini Gift		
0x0DD						
0x0DE						
0x0DF						
0x0E0						
0x0E1						
0x0E2						
0x0E3						
0x0E4						
0x0E5						
0x0E6						
0x0E7						
0x0E8						
0x0E9						
0x0EA						
0x0EB						
0x0EC						
0x0ED						
0x0EE						
0x0EF						
0x0F0						
0x0F1	SIDE EVENT			Beat Pokeathlon Records (Trainer Card Upgrade)		
0x0F2						
0x0F3						
0x0F4						
0x0F5						
0x0F6						
0x0F7						
0x0F8						
0x0F9						
0x0FA						
0x0FB						
0x0FC						
0x0FD						
0x0FE						
0x0FF						
0x100						
0x101						
0x102						
0x103						
0x104						
0x105						
0x106						
0x107						
0x108						
0x109						
0x10A						
0x10B						
0x10C	PKMN GIFT			Received Tyrogue Gift		
0x10D	EVENT			Defeated Karate King in Mt. Mortar		
0x10E						
0x10F						
0x110						
0x111						
0x112						
0x113						
0x114						
0x115						
0x116						
0x117						
0x118						
0x119						
0x11A						
0x11B						
0x11C						
0x11D						
0x11E						
0x11F						
0x120						
0x121	IN-GAME TRADE			Traded at Power Plant		
0x122						
0x123						
0x124						
0x125						
0x126						
0x127						
0x128						
0x129						
0x12A						
0x12B						
0x12C						
0x12D						
0x12E						
0x12F						
0x130						
0x131						
0x132						
0x133	IN-GAME TRADE			Traded in Pewter City		
0x134						
0x135						
0x136						
0x137						
0x138						
0x139						
0x13A						
0x13B						
0x13C						
0x13D						
0x13E						
0x13F						
0x140						
0x141						
0x142						
0x143						
0x144						
0x145						
0x146						
0x147						
0x148						
0x149						
0x14A						
0x14B						
0x14C						
0x14D						
0x14E						
0x14F						
0x150						
0x151						
0x152						
0x153						
0x154						
0x155						
0x156						
0x157						
0x158						
0x159						
0x15A						
0x15B						
0x15C						
0x15D						
0x15E						
0x15F						
0x160						
0x161						
0x162	IN-GAME TRADE			Traded with Lt. Surge		
0x163						
0x164						
0x165	IN-GAME TRADE			Traded with Brock		
0x166	IN-GAME TRADE			Traded with Jasmine		
0x167	IN-GAME TRADE			Traded with Steven		
0x168						
0x169						
0x16A	STATIC ENCOUNTER			Caught Red Gyarados		
0x16B						
0x16C						
0x16D						
0x16E						
0x16F						
0x170						
0x171						
0x172						
0x173						
0x174						
0x175						
0x176						
0x177	SIDE EVENT			Got Hoenn Starter from Steven		
0x178						
0x179						
0x17A						
0x17B						
0x17C						
0x17D						
0x17E						
0x17F						
0x180						
0x181						
0x182						
0x183						
0x184	SIDE EVENT			Obtained 1 Shiny Crown (Trainer Card Upgrade)		
0x185						
0x186						
0x187						
0x188						
0x189						
0x18A						
0x18B						
0x18C						
0x18D						
0x18E						
0x18F						
0x190						
0x191						
0x192						
0x193						
0x194						
0x195						
0x196						
0x197						
0x198						
0x199						
0x19A						
0x19B						
0x19C						
0x19D						
0x19E						
0x19F						
0x1A0						
0x1A1						
0x1A2						
0x1A3						
0x1A4						
0x1A5						
0x1A6						
0x1A7						
0x1A8						
0x1A9						
0x1AA						
0x1AB						
0x1AC						
0x1AD						
0x1AE						
0x1AF						
0x1B0						
0x1B1						
0x1B2						
0x1B3						
0x1B4						
0x1B5						
0x1B6						
0x1B7						
0x1B8						
0x1B9						
0x1BA						
0x1BB						
0x1BC						
0x1BD						
0x1BE						
0x1BF						
0x1C0						
0x1C1						
0x1C2	STATIC ENCOUNTER			Route 36 Sudowoodo Disappeared		
0x1C3						
0x1C4						
0x1C5						
0x1C6						
0x1C7						
0x1C8						
0x1C9	STORY EVENT			Raikou Roamed		
0x1CA	STORY EVENT			Entei Roamed		
0x1CB	STORY EVENT			Suicune (Burned Tower) Fled		
0x1CC						
0x1CD						
0x1CE						
0x1CF						
0x1D0						
0x1D1						
0x1D2						
0x1D3						
0x1D4						
0x1D5						
0x1D6						
0x1D7						
0x1D8						
0x1D9						
0x1DA						
0x1DB						
0x1DC						
0x1DD						
0x1DE						
0x1DF						
0x1E0						
0x1E1						
0x1E2						
0x1E3	STATIC ENCOUNTER			Red Gyarados Disappeared		
0x1E4						
0x1E5						
0x1E6						
0x1E7						
0x1E8						
0x1E9						
0x1EA						
0x1EB						
0x1EC						
0x1ED						
0x1EE						
0x1EF						
0x1F0						
0x1F1						
0x1F2						
0x1F3						
0x1F4						
0x1F5	STATIC ENCOUNTER			Team Rocket HQ Electrode (1) Disappeared		
0x1F6	STATIC ENCOUNTER			Team Rocket HQ Electrode (2) Disappeared		
0x1F7	STATIC ENCOUNTER			Team Rocket HQ Electrode (3) Disappeared		
0x1F8						
0x1F9						
0x1FA						
0x1FB						
0x1FC						
0x1FD						
0x1FE						
0x1FF						
0x200						
0x201						
0x202						
0x203						
0x204						
0x205						
0x206						
0x207						
0x208						
0x209						
0x20A						
0x20B						
0x20C						
0x20D						
0x20E						
0x20F						
0x210						
0x211						
0x212						
0x213						
0x214						
0x215						
0x216						
0x217						
0x218						
0x219						
0x21A						
0x21B	SIDE EVENT			Solved Ruins of Alph Escape Rope wall puzzle		
0x21C						
0x21D	SIDE EVENT			Solved Ruins of Alph Flash wall puzzle		
0x21E						
0x21F	SIDE EVENT			Solved Ruins of Alph Water Stone wall puzzle		
0x220						
0x221	SIDE EVENT			Solved Ruins of Alph Ho-Oh wall puzzle		
0x222						
0x223						
0x224						
0x225						
0x226						
0x227						
0x228						
0x229						
0x22A						
0x22B						
0x22C						
0x22D						
0x22E						
0x22F						
0x230						
0x231						
0x232						
0x233						
0x234						
0x235						
0x236						
0x237						
0x238						
0x239						
0x23A						
0x23B						
0x23C						
0x23D						
0x23E						
0x23F						
0x240						
0x241						
0x242	STATIC ENCOUNTER			Ho-Oh Disappeared		
0x243	STATIC ENCOUNTER			Lugia Disappeared		
0x244						
0x245						
0x246						
0x247						
0x248						
0x249						
0x24A						
0x24B						
0x24C						
0x24D						
0x24E						
0x24F						
0x250						
0x251						
0x252						
0x253						
0x254						
0x255						
0x256						
0x257						
0x258						
0x259						
0x25A						
0x25B						
0x25C						
0x25D						
0x25E						
0x25F	EVENT			Red (Mt. Silver) Disappeared		
0x260						
0x261	STATIC ENCOUNTER			Sleeping Snorlax Disappeared		
0x262						
0x263						
0x264						
0x265						
0x266						
0x267						
0x268						
