//	Event Flags					
0x000	_UNUSED					
0x001						
0x002						
0x003						
0x004						
0x005						
0x006						
0x007						
0x008						
0x009						
0x00A						
0x00B						
0x00C						
0x00D						
0x00E						
0x00F						
0x010						
0x011						
0x012						
0x013						
0x014						
0x015						
0x016						
0x017						
0x018						
0x019						
0x01A						
0x01B						
0x01C						
0x01D						
0x01E						
0x01F						
0x020						
0x021						
0x022						
0x023						
0x024						
0x025						
0x026						
0x027						
0x028						
0x029						
0x02A						
0x02B						
0x02C						
0x02D						
0x02E						
0x02F						
0x030						
0x031						
0x032						
0x033						
0x034						
0x035						
0x036						
0x037						
0x038						
0x039						
0x03A						
0x03B						
0x03C						
0x03D						
0x03E						
0x03F						
0x040						
0x041						
0x042						
0x043						
0x044						
0x045						
0x046						
0x047						
0x048						
0x049						
0x04A						
0x04B						
0x04C						
0x04D						
0x04E						
0x04F						
0x050						
0x051						
0x052						
0x053						
0x054						
0x055						
0x056						
0x057						
0x058						
0x059						
0x05A						
0x05B						
0x05C						
0x05D						
0x05E						
0x05F						
0x060						
0x061						
0x062						
0x063						
0x064						
0x065						
0x066						
0x067						
0x068						
0x069						
0x06A						
0x06B						
0x06C						
0x06D						
0x06E						
0x06F						
0x070						
0x071						
0x072						
0x073	EVENT			Trading Functionality Enabled (Pokecenter)		
0x074						
0x075						
0x076						
0x077						
0x078						
0x079						
0x07A						
0x07B						
0x07C						
0x07D						
0x07E						
0x07F						
0x080						
0x081						
0x082						
0x083						
0x084						
0x085						
0x086						
0x087						
0x088						
0x089						
0x08A						
0x08B						
0x08C						
0x08D						
0x08E						
0x08F						
0x090						
0x091	PKMN GIFT			Received Cover/Plume Fossil from Backpacker		
0x092						
0x093						
0x094	IN-GAME TRADE			Traded for Petilil/Cottonee		
0x095						
0x096						
0x097						
0x098						
0x099						
0x09A						
0x09B						
0x09C						
0x09D						
0x09E						
0x09F						
0x0A0						
0x0A1						
0x0A2						
0x0A3						
0x0A4						
0x0A5						
0x0A6						
0x0A7						
0x0A8						
0x0A9						
0x0AA						
0x0AB						
0x0AC						
0x0AD						
0x0AE						
0x0AF						
0x0B0						
0x0B1						
0x0B2						
0x0B3						
0x0B4						
0x0B5						
0x0B6						
0x0B7						
0x0B8						
0x0B9						
0x0BA						
0x0BB						
0x0BC						
0x0BD						
0x0BE						
0x0BF						
0x0C0						
0x0C1						
0x0C2						
0x0C3						
0x0C4						
0x0C5						
0x0C6						
0x0C7						
0x0C8						
0x0C9						
0x0CA						
0x0CB						
0x0CC						
0x0CD						
0x0CE						
0x0CF						
0x0D0						
0x0D1						
0x0D2						
0x0D3						
0x0D4						
0x0D5						
0x0D6						
0x0D7						
0x0D8						
0x0D9						
0x0DA						
0x0DB						
0x0DC						
0x0DD						
0x0DE						
0x0DF						
0x0E0						
0x0E1						
0x0E2						
0x0E3						
0x0E4						
0x0E5						
0x0E6						
0x0E7						
